Tipo de material;Meio de divulgação;Entidade;Tipo de organização;Autor;Título;Palavras-chave ou descritores;Ano da produção;Ano da publicação;Edição;Local de publicação;Editora;Número de páginas/minutos;Disponível em;ISBN;ISSN
artigo científico;site;Universidade Comunitária Regional de Chapecó - Unochapecó;governamental;LINO, Jaisson Teixeira| MARTINS, Maria Claudia de Oliveira| SILVA, Elisana Reis da. ;"Medo do ""outro"" : representações sobre os povos indígenas no relato da viagem de RobertAvé-Lallemant pela província de Santa Catarina (1858)";Povos indígenas - Índios Kaingang - Índios Xokleng - Descrições e viagens;2014;jun. 2014;v.27,n.40;Publicações Científicas Unochapecó. ;Cadernos do CEOM;123-143;http://konrad.unochapeco.edu.br/pergamum/biblioteca/index.php?codAcervo=201628;;.
artigo científico;site;Universidade Comunitária Regional de Chapecó - Unochapecó;governamental;LINO, Jaisson Teixeira| SILVA, Elisana Reis da| LINO, Gislaine Inácio de Melo. ;Fronteiras interdisciplinares no estudo do passado indígena : considerações sobre arqueologia e história em Santa Catarina ;Cultura material - Índios - Arqueologia;2012;dez. 2012;v.25, n.37;Publicações Científicas Unochapecó. ;Cadernos do CEOM;161-175;http://konrad.unochapeco.edu.br/pergamum/biblioteca/index.php?codAcervo=197933;;.
artigo científico;site;Universidade Comunitária Regional de Chapecó - Unochapecó;governamental;MANFROI, Ninarosa Mozzato da Silva. ;Registros etnográficos de Antonio Selistre de Campos : a defesa da terra indígena Xapecó - Xanxerê/SC ;Campos, Antonio Selistre de 1881-1957 - Índios Kaingang - Chapecó (SC);2010;jun. 2010; v.23, n.32;Publicações Científicas Unochapecó. ;Cadernos do CEOM; 241-256;http://konrad.unochapeco.edu.br/pergamum/biblioteca/index.php?codAcervo=197554;;.
artigo científico;site;Universidade Comunitária Regional de Chapecó - Unochapecó;governamental;MANFROI, Ninarosa Mozzato da Silva| NÖTZOLD, Ana Lucia Vulfe. ;Professor Felicíssimo Belino e a primeira escola para os Kaingáng : a memória compondo a história e a história registrando a memória;Índios Kaingang - Educação - Escolas;2008;jun. 2008;v.21, n.28;Publicações Científicas Unochapecó. ;Cadernos do CEOM;303-324;http://konrad.unochapeco.edu.br/pergamum/biblioteca/index.php?codAcervo=186068;;.
artigo científico;site;Universidade Comunitária Regional de Chapecó - Unochapecó;governamental;MARCON,Cleberson| SPESSATO, Mary Bortolanza| SANTOS, Silvane Alves dos. ;Da aldeia à caserna;;;2012;;Publicações Científicas Unochapecó. ;;;http://konrad.unochapeco.edu.br/pergamum/biblioteca/index.php?codAcervo=209678;;.
artigo científico;site;Universidade Comunitária Regional de Chapecó - Unochapecó;governamental;MENIN, Daniele| WINCKLER, Silvana Terezinha. ;Responsabilidade civil do estado em relação à demarcação de terras na área indígena Toldo Pinhal frente aos direitos do terceiro de boa-fé;Terras - Demarcação - Índios - Estatuto legal, leis, etc.;2014;2014;;Publicações Científicas Unochapecó. ;;1 CD-ROM ;http://konrad.unochapeco.edu.br/pergamum/biblioteca/index.php?codAcervo=202130;;.
artigo científico;site;Universidade Comunitária Regional de Chapecó - Unochapecó;governamental;NACKE, Aneliese| SANTOS, Sílvio Coelho dos. ;Índio e a Terra [manuscrito] : a luta pela sobrevivência no P. I. Xapecó - SC;Índios Kaingang;;1983;;Publicações Científicas Unochapecó. ; Universidade Federal de Santa Catarina;190;http://konrad.unochapeco.edu.br/pergamum/biblioteca/index.php?codAcervo=184522;;.
artigo científico;site;Universidade Comunitária Regional de Chapecó - Unochapecó;governamental;NARSIZO, Ana Paula| PIOVEZANA, Leonel. ;Formação de professores indígena e educação integral nos processos ensino aprendizagem;Índios Kaingang - Educação - Educação integral - Professores indígenas - Formação;2016;2016;;Publicações Científicas Unochapecó. ;Unochapecó;1 CD-ROM;http://konrad.unochapeco.edu.br/pergamum/biblioteca/index.php?codAcervo=208965;;.
artigo científico;site;Universidade Comunitária Regional de Chapecó - Unochapecó;governamental;NÖTZOLD, Ana Lucia Vulfe. ;Percepções dos usos de produções didáticas em uma escola kaingang;Educação Escolar Indígena - Etnohistória;;2006;;Publicações Científicas Unochapecó. ;Revista pedagógica;21-35;http://konrad.unochapeco.edu.br/pergamum/biblioteca/index.php?codAcervo=204733;;1984-156
artigo científico;site;Universidade Comunitária Regional de Chapecó - Unochapecó;governamental;NÖTZOLD, Ana Lucia Vulfe| BRINGMANN, Sandor Fernando.;Inteligente, dissimulado ou perverso? : o cacique Doble na visão das autoridades provinciais sul-rio-grandenses (Século XIX);Índios Kaingang -- Rio Grande do Sul;2010;jun. 2010;v.23, n.32;Publicações Científicas Unochapecó. ;Cadernos do CEOM;17-39;http://konrad.unochapeco.edu.br/pergamum/biblioteca/index.php?codAcervo=197527;;.
artigo científico;site;Universidade Comunitária Regional de Chapecó - Unochapecó;governamental;OLIVEIRA, Maria Conceição de| LANGDON, Esther Jean.;Curadores Kaingáng e a recriação de suas práticas [manuscrito] : estudo de caso na Aldeia Xapecó (oeste S.C.) ;Etnologia - Indios Kaingang - Usos e costumes;;1996;;Publicações Científicas Unochapecó. ;UFSC;244;http://konrad.unochapeco.edu.br/pergamum/biblioteca/index.php?codAcervo=181514;;.
artigo científico;site;Universidade Comunitária Regional de Chapecó - Unochapecó;governamental;OLIVEIRA, Valdemir Antonio| COSTA, Miguel Ângelo S. da.;escola é onde podemos pensar o que realmente queremos para a vida [recurso eletrônico] : escolarização e projetos de vida no horizonte social de jovens kaingang,;Índios Kaingang -- Educação;;2016;;Publicações Científicas Unochapecó. ;Unochapecó;1 CD-ROM;http://konrad.unochapeco.edu.br/pergamum/biblioteca/index.php?codAcervo=208272;;.
artigo científico;site;Universidade Comunitária Regional de Chapecó - Unochapecó;governamental;ORÇO, Claudio Luiz.;Papel de la escuela en el rescate de la cultura y manutención de la identidad indígena;Índios do Brasil - Sociologia educacional - Índios - Educação;;2000;;Publicações Científicas Unochapecó. ; Instituto Pedagógico Latino Americano y Caribeño;84;http://konrad.unochapeco.edu.br/pergamum/biblioteca/index.php?codAcervo=136779;;.
artigo científico;site;Universidade Comunitária Regional de Chapecó - Unochapecó;governamental;PALIANO, Ary| WINCKLER, Silvana Terezinha. ;Direito às diferenças dos povos indígenas perante a constituição federal;Índios - Povos indígenas;;2011;;Publicações Científicas Unochapecó. ;Unochapecó;1 CD-ROM;http://konrad.unochapeco.edu.br/pergamum/biblioteca/index.php?codAcervo=187533;;.
artigo científico;site;Universidade Comunitária Regional de Chapecó - Unochapecó;governamental;PEDERSSETTI, Neri| GAMBORGI, Geni Portela. ;Frequência de enteroparasitoses nas crianças da área indígena de Ipuaçú-SC ;Parasitologia - Parasitoses intestinais;;2005;;Publicações Científicas Unochapecó. ;Unochapecó;1 CD-ROM;http://konrad.unochapeco.edu.br/pergamum/biblioteca/index.php?codAcervo=166226;;.
artigo científico;site;Universidade Comunitária Regional de Chapecó - Unochapecó;governamental;PERES, JACKSON ALEXSANDRO.;Pensando a relação natureza, cultura e história no caso dos Xokleng;Índios Xokleng - Cultura;2008;dez. 2008;v.21, n.29;Publicações Científicas Unochapecó. ;Cadernos do CEOM;165-182;http://konrad.unochapeco.edu.br/pergamum/biblioteca/index.php?codAcervo=196920;;.
artigo científico;site;Universidade Comunitária Regional de Chapecó - Unochapecó;governamental;PIOVEZANA, Giovana Didone| SILVA, Maurício Roberto da. ;Vida cotidiana das crianças indígenas que circulam na cidade[recurso eletrônico] : investigando o trabalho, a cultura lúdica, a violência e os maus tratos,;Crianças indígenas - Chapecó (SC) - Índios Kaingang - Trabalho infantil;;2016;;Publicações Científicas Unochapecó. ;Unochapecó;1 CD-ROM;http://konrad.unochapeco.edu.br/pergamum/biblioteca/index.php?codAcervo=208221;;.
artigo científico;site;Universidade Comunitária Regional de Chapecó - Unochapecó;governamental;PRÁ, Andrius Antônio de. ;(in)imputabilidade penal do índio;Índios - Estatuto legal, leis, etc. - Responsabilidade penal;;2016;;Publicações Científicas Unochapecó. ;Unochapecó;1 CD-ROM ;http://konrad.unochapeco.edu.br/pergamum/biblioteca/index.php?codAcervo=208900;;.
artigo científico;site;Universidade Comunitária Regional de Chapecó - Unochapecó;governamental;REZENDE, Maria Aparecida. ;O território como um elemento indissociável da educação [recurso eletrônico]: um desafio para a formação de professores indígenas;;;2012;;Publicações Científicas Unochapecó. ;Revista pedagógica;75-91;http://konrad.unochapeco.edu.br/pergamum/biblioteca/index.php?codAcervo=204737;;.
artigo científico;site;Universidade Comunitária Regional de Chapecó - Unochapecó;governamental;RODRIGUES, Denize dos Santos| SAVOLDI, Adiles. ;Organização social Kaingang [manuscrito] : um estudo da concepção de família e parentesco na aldeia indígena bananeiras;Indios Kaingang - Usos e costumes - Casamento - Aconselhamento - Índios Kaingang - Família - Índios Kaingang;;2005;;Publicações Científicas Unochapecó. ;;56;http://konrad.unochapeco.edu.br/pergamum/biblioteca/index.php?codAcervo=183298;;.
artigo científico;site;Universidade Comunitária Regional de Chapecó - Unochapecó;governamental;ROSA, Helena Alpini. ;Kuaa mbo e = conhecer, ensinar : a experiência na formação de professores guarani.;Educação Escolar Indígena - Professores - Formação;;2010;;Publicações Científicas Unochapecó. ;Revista pedagógica;171-191;http://konrad.unochapeco.edu.br/pergamum/biblioteca/index.php?codAcervo=204742;;.
artigo científico;site;Universidade Comunitária Regional de Chapecó - Unochapecó;governamental;ROSINA, Adriano| OLIVEIRA, Elaine Teresinha de| VENDRUSCOLO, Giovana Secretti. ;Etnobotânica e o ensino de ciências nas terras indígenas Xapecó e Chimbangue ;Etnobotânica - Índios Kaingang - Plantas medicinais;;2010;;Publicações Científicas Unochapecó. ;Unochapecó;1 CD-ROM;http://konrad.unochapeco.edu.br/pergamum/biblioteca/index.php?codAcervo=187039;;.
artigo científico;site;Universidade Comunitária Regional de Chapecó - Unochapecó;governamental;RUSSI, Clecir Antonia| SAVOLDI, Adiles.;Estudo de caso sobre a autoridade indígena na aldeia bananeiras;Índios Kaingang - Poder disciplinar;;2004;;Publicações Científicas Unochapecó. ;Unochapecó;40;http://konrad.unochapeco.edu.br/pergamum/biblioteca/index.php?codAcervo=183309;;.
artigo científico;site;Universidade Comunitária Regional de Chapecó - Unochapecó;governamental;SANTIN, Suellen| LÜERSEN, Angélica. ;Relatório projeto experimental: as duas margens do rio: uma grande reportagem sobre a resistência cultural dos kaingang da aldeia Condá;;;2012;;Publicações Científicas Unochapecó. ;;;http://konrad.unochapeco.edu.br/pergamum/biblioteca/index.php?codAcervo=209728;;.
artigo científico;site;Universidade Comunitária Regional de Chapecó - Unochapecó;governamental;SANTOS, Adriana Maria dos;Cadeira de rodas e próteses : molduras do corpo mutilado na pintura;Arte - Corpo - Pintura;;jul./dez. 2001;;Publicações Científicas Unochapecó. ;Revista pedagógica;57-71;http://konrad.unochapeco.edu.br/pergamum/biblioteca/index.php?codAcervo=161467;;.
artigo científico;site;Universidade Comunitária Regional de Chapecó - Unochapecó;governamental;SANTOS, Elocenir| DMITRUK ORTIZ, Hilda Beatriz.;Temática indígena no livro didático;Livros didáticos - Índios - Livros didáticos;;1997;;Publicações Científicas Unochapecó. ;unoesc;69;http://konrad.unochapeco.edu.br/pergamum/biblioteca/index.php?codAcervo=184184;;.
artigo científico;site;Universidade Comunitária Regional de Chapecó - Unochapecó;governamental;SANTOS, Marina Petzen Vieira dos. ;Avifauna de reserva indígena no oeste de Santa Catarina, sul do Brasil ;Ambientes antropizados - Comunidade de aves;;2014; v.11, n.1/2;Publicações Científicas Unochapecó. ;Acta ambiental catarinense;53-71;http://konrad.unochapeco.edu.br/pergamum/biblioteca/index.php?codAcervo=205961;;.
artigo científico;site;Universidade Comunitária Regional de Chapecó - Unochapecó;governamental;SAVOLDI, Adiles. ;Olhares sobre a terra indígena Xapecó : municípios de Ipuaçú e Entre Rios/SC;Indios Kaingang - Usos e costumes - Turismo - Identidade social;;jul. 2006;v. 19, n. 24;Publicações Científicas Unochapecó. ;Cadernos do CEOM; 53-81;http://konrad.unochapeco.edu.br/pergamum/biblioteca/index.php?codAcervo=175751;;.
artigo científico;site;Universidade Comunitária Regional de Chapecó - Unochapecó;governamental;SAVORO, Talita Daniel| SILVA, Ninarosa Mozzato da| NÖTZOLD, Ana Lucia Vulfe.;Artesanato Kaingang : entre usos e desusos da cultura material ;Indios Kaingang - Usos e costumes - Artesanato;;jun. 2006;v.19, n.24;Publicações Científicas Unochapecó. ;Cadernos do CEOM;31-51;http://konrad.unochapeco.edu.br/pergamum/biblioteca/index.php?codAcervo=175748;;.
artigo científico;site;Universidade Comunitária Regional de Chapecó - Unochapecó;governamental;SECCHI, Darci| PRATES, Elen Luci. ;Currículos interculturais para escolas indígenas ;Interculturalidade - Escolas indígenas;;;;Publicações Científicas Unochapecó. ;Revista pedagógica;117-132;http://konrad.unochapeco.edu.br/pergamum/biblioteca/index.php?codAcervo=204739;;.
artigo científico;site;Universidade Comunitária Regional de Chapecó - Unochapecó;governamental;SILVA, Bernardete Luiza da| MINETTO, Sandra Borsoi. ;Mosaico contemporâneo com materiais reciclados e sua incorporação à linguagem escolar;Arte - Estudo e ensino - Mosaico;;2005;;Publicações Científicas Unochapecó. ;Unochapecó;1 CD-ROM;http://konrad.unochapeco.edu.br/pergamum/biblioteca/index.php?codAcervo=165932;;.
artigo científico;site;Universidade Comunitária Regional de Chapecó - Unochapecó;governamental;SILVA, Carolina Bernasconi da Silva| LAJÚS, Maria Luiza de Souza.;Programa nacional de habitação rural [recurso eletrônico] : o caso da aldeia Condá;Serviço social - Índios Kaingang - Habitações rurais;;2015;;Publicações Científicas Unochapecó. ;Unochapecó;1 CD-ROM;http://konrad.unochapeco.edu.br/pergamum/biblioteca/index.php?codAcervo=209736;;.
artigo científico;site;Universidade Comunitária Regional de Chapecó - Unochapecó;governamental;SILVA, José Valderi da| VICENTIN, Gláucio Wandré| PIOVEZANA, Leonel. ;Direitos humanos e princípios da dignidade da pessoa[recurso eletrônico] : estudo da prática do tronco em comunidade indígena Kaingang;Indios Kaingang - Usos e costumes - Índios - Estatuto legal, leis, etc. - Direitos humanos;;2016;;Publicações Científicas Unochapecó. ;Unochapecó;1 CD-ROM;http://konrad.unochapeco.edu.br/pergamum/biblioteca/index.php?codAcervo=207573;;.
artigo científico;site;Universidade Comunitária Regional de Chapecó - Unochapecó;governamental;SILVA, Rodrigo Aguiar da| FERRAZ, Lucimare.;Processo de nascimento : perfil epidemiológico da zona urbana e rural;Recém-nascidos - Peso baixo - Prematuros - Recém-nascidos -  Detalhes Cuidado e tratamento  ;;2014;;Publicações Científicas Unochapecó. ;Unochapecó;114;http://konrad.unochapeco.edu.br/pergamum/biblioteca/index.php?codAcervo=201394;;.
artigo científico;site;Universidade Comunitária Regional de Chapecó - Unochapecó;governamental;SIQUEIRA, André Boccasius| LIMA, Fernanda Oliveira| SOBCZAK, Jessé Renan Scapini.;O projeto político-pedagógico e o plano de ensino de ciências em uma escola kaingang;Escola Indígena - Interculturalidade;;;;Publicações Científicas Unochapecó. ;Revista pedagógica;222-233;http://konrad.unochapeco.edu.br/pergamum/biblioteca/index.php?codAcervo=204745;;.
artigo científico;site;Universidade Comunitária Regional de Chapecó - Unochapecó;governamental;SUFIATTI, Tanabi| DUARTE, Claudia Glavam.;O currículo de matemática da escola indígena cacique vanhkrê e a constituição de sujeitos indígenas kaingang na contemporaneidade;Currículo escolar - Matemática;;;;Publicações Científicas Unochapecó. ;Revista pedagógica;148-170;http://konrad.unochapeco.edu.br/pergamum/biblioteca/index.php?codAcervo=204741;;.
artigo científico;site;Universidade Comunitária Regional de Chapecó - Unochapecó;governamental;VANCINI, Fabiane| VIEIRA, Fabio Daniel.;Estampas inspiradas nas pinturas corporais indígena da tribo Laklãnõ/Xokleng da região de Ibirama-SC;Tecidos - Estampagem;;2011;;Publicações Científicas Unochapecó. ;Unochapecó;1 CD-ROM;http://konrad.unochapeco.edu.br/pergamum/biblioteca/index.php?codAcervo=190556;;.
artigo científico;site;Universidade Comunitária Regional de Chapecó - Unochapecó;governamental;VANZELLA, Nelis| BRAUM, Helenice Da Aparecida Dambros. ;O trabalho do indígena em conflito com sua cultura;Índios - Estatuto legal, leis, etc. - Povos indígenas - Usos e costumes - Direito do trabalho - Brasil;;2014;;Publicações Científicas Unochapecó. ;Unochapecó;1 CD-ROM;http://konrad.unochapeco.edu.br/pergamum/biblioteca/index.php?codAcervo=202029;;.
artigo científico;site;Universidade Comunitária Regional de Chapecó - Unochapecó;governamental;VEIGA, Juracilda;Revisão bibliografica crítica sobre organização social Kaingang;Centro de Memória do Oeste de Santa Catarina - Indios da América do Sul - (subd. geog.) - Vida e costumes sociais - Índios Kaingang;;2006;v. 19, n. 23;Publicações Científicas Unochapecó. ;Cadernos do CEOM;189-256;http://konrad.unochapeco.edu.br/pergamum/biblioteca/index.php?codAcervo=175724;;.
artigo científico;site;Universidade Comunitária Regional de Chapecó - Unochapecó;governamental;VEIGA, Juracilda;Revisão bibliográfica crítica sobre organização social kaingang 2 ed.;Indios da América do Sul - (subd. geog.) - Vida e costumes sociais - Índios Kaingang;1992;out. 1992;v. 6, n. 8;Publicações Científicas Unochapecó. ;Cadernos do CEOM;08--82;http://konrad.unochapeco.edu.br/pergamum/biblioteca/index.php?codAcervo=142863;;.
artigo científico;site;Universidade Comunitária Regional de Chapecó - Unochapecó;governamental;VIEIRA, Fabio Daniel| BORTOLETO, Edivaldo José.;Grafismo indígena no contexto da América Latina Caribenha a partir de Charles Sanders Peirce[recurso eletrônico] : uma leitura semiótica sobre o grafismo Kaingang e suas relações com a educação indígena;Índios Kaingang - Educação - Identidade étnica - Semiótica;;2016;;Publicações Científicas Unochapecó. ;Unochapecó;1 CD-ROM ;http://konrad.unochapeco.edu.br/pergamum/biblioteca/index.php?codAcervo=208951;;.
artigo científico;site;Universidade Comunitária Regional de Chapecó - Unochapecó;governamental;XETA, Rafaela Belino| BRAUN, Helenice da Aparecida Dambrós. ;Direito à educação diferenciada dos povos indígenas,;Educação - Índios - Estatuto legal, leis, etc. - Direito à educação - Índios Kaingang - Educação - Chapecó (SC);;2014;;Publicações Científicas Unochapecó. ;Unochapecó;1 CD-ROM;http://konrad.unochapeco.edu.br/pergamum/biblioteca/index.php?codAcervo=202634;;.
artigo científico;site;Universidade Comunitária Regional de Chapecó - Unochapecó;governamental;YAMAZAKI, Regiani Magalhães de Oliveira| DELIZOICOV, Demétrio.;Saúde no contexto educacional indígena [recurso eletrônico]: análise de livros didáticos de ciências adotados em escolas municipais indígenas de Dourados-MS ;Educação Escolar Indígena - Educação problematizadora;;;;Publicações Científicas Unochapecó. ;Revista pedagógica;208-221;http://konrad.unochapeco.edu.br/pergamum/biblioteca/index.php?codAcervo=204744;;.
artigo científico;site;Universidade Comunitária Regional de Chapecó - Unochapecó;governamental;ALBUQUERQUE, Manuel Coelho. ;Aliança, negociação e rebeldia indígena no Ceará colonial : deslocamentos e dimensões identitárias;Índios - Ceará - História;2010;jun. 2010; v.23, n.32;Publicações Científicas Unochapecó. ;Cadernos do CEOM;203-220;http://konrad.unochapeco.edu.br/pergamum/biblioteca/index.php?codAcervo=197548;;.
artigo científico;site;Universidade Comunitária Regional de Chapecó - Unochapecó;governamental;COLPO, Débora| THAINES, Aletéia Hummes.;Trabalho indígena nas agroindustrias da região de Chapecó-SC,;Índios - Trabalho - Agroindústria - Chapecó (SC) - Índios - Estatuto legal, leis, etc. - Direito do trabalho - Chapecó (SC);;2014;;Publicações Científicas Unochapecó. ;Unochapecó;1 CD-ROM;http://konrad.unochapeco.edu.br/pergamum/biblioteca/index.php?codAcervo=202605;;.
artigo científico;site;Universidade Comunitária Regional de Chapecó - Unochapecó;governamental;FACCO, Janete| LEMES, Loivo A.| PIOVEZANA, Leonel. ;Índio, a aldeia e o urbano na formação socioespacial de Chapecó ;Índios Kaingang - Índios;2008;dez. 2008;v.21, n.29;Publicações Científicas Unochapecó. ;Cadernos do CEOM;183-205;http://konrad.unochapeco.edu.br/pergamum/biblioteca/index.php?codAcervo=197105;;.
artigo científico;site;Universidade Comunitária Regional de Chapecó - Unochapecó;governamental;FERREIRA, Bruno| CAOVILLA, Maria Aparecida Lucca.;Direito indígena à margem do direito positivo brasileiro;Índios da America do Sul - Estauto legal, leis, etc. - Índios - Vida e costumes sociais;;2014;;Publicações Científicas Unochapecó. ;Unochapecó;1 CD-ROM;http://konrad.unochapeco.edu.br/pergamum/biblioteca/index.php?codAcervo=202057;;.
artigo científico;site;Universidade Comunitária Regional de Chapecó - Unochapecó;governamental;FURLIN, Dalila| OLIVEIRA, Hugo Paulo Gandolfi de.;Vozes na mata o índio sobrevive na maior floresta de araucária do mundo;;;2012;;Publicações Científicas Unochapecó. ;;;http://konrad.unochapeco.edu.br/pergamum/biblioteca/index.php?codAcervo=209475;;.
artigo científico;site;Universidade Comunitária Regional de Chapecó - Unochapecó;governamental;GAVA, Auri Luz| BORTOLOTTO, Carla Langoski Sotilli. ;Questão das terras indígenas e o processo demarcatório do Toldo Imbu ;Direito de propriedade - (subd. geog.);;2004;;Publicações Científicas Unochapecó. ;Unochapecó;67;http://konrad.unochapeco.edu.br/pergamum/biblioteca/index.php?codAcervo=170383;;.
artigo científico;site;Universidade Comunitária Regional de Chapecó - Unochapecó;governamental;GRAVUNI, Deise Franciele| BRAUN, Helenice da Aparecida Dambrós.;Questão indígena no oeste catarinense;Índios - Estatuto legal, leis, etc. - Índios - Santa Catarina, Oeste. - Terras - Demarcação.;;2014;;Publicações Científicas Unochapecó. ;Unochapecó;1 CD-ROM;http://konrad.unochapeco.edu.br/pergamum/biblioteca/index.php?codAcervo=202693;;.
artigo científico;site;Universidade Comunitária Regional de Chapecó - Unochapecó;governamental;MARTINS, Marcio Lucio| SILVA, Augusto da. ;Implantação da rádio Índio Condá em Chapecó SC;Rádio índio Conda - Chapecó (SC). - Rádio - história.;;2004;;Publicações Científicas Unochapecó. ;Unochapecó;45;http://konrad.unochapeco.edu.br/pergamum/biblioteca/index.php?codAcervo=183458;;.
artigo científico;site;Universidade Comunitária Regional de Chapecó - Unochapecó;governamental;NACKE, Aneliese| SANTOS, Sílvio Coelho dos.;Índio e a Terra [manuscrito] : a luta pela sobrevivência no P. I. Xapecó - SC;Índios Kaingang;;1983;;Publicações Científicas Unochapecó. ;UFSC;190;http://konrad.unochapeco.edu.br/pergamum/biblioteca/index.php?codAcervo=184522;;.
artigo científico;site;Universidade Comunitária Regional de Chapecó - Unochapecó;governamental;ORÇO, Claudio Luiz. ;Papel de la escuela en el rescate de la cultura y manutención de la identidad indígena;Índios do Brasil - Sociologia educacional - Índios - Educação;;2000;;Publicações Científicas Unochapecó. ;Instituto Pedagógico Latino Americano y Caribeño;84;http://konrad.unochapeco.edu.br/pergamum/biblioteca/index.php?codAcervo=136779;;.
artigo científico;site;Universidade Comunitária Regional de Chapecó - Unochapecó;governamental;PALIANO, Ary| WINCKLER, Silvana Terezinha;Direito às diferenças dos povos indígenas perante a constituição federal;Índios - Estatuto legal, leis, etc. - Índios - Santa Catarina, Oeste - Terras - Demarcação;;2011;;Publicações Científicas Unochapecó. ;Unochapecó;1 CD-ROM;http://konrad.unochapeco.edu.br/pergamum/biblioteca/index.php?codAcervo=187533;;.
artigo científico;site;Universidade Comunitária Regional de Chapecó - Unochapecó;governamental;SILVA, José Valderi da| VICENTIN, Gláucio Wandré| PIOVEZANA, Leonel. ;Direitos humanos e princípios da dignidade da pessoa[recurso eletrônico] : estudo da prática do tronco em comunidade indígena Kaingang;Índios Kaingang - Usos e costumes - Índios - Estatuto legal, leis, etc. - Direitos humanos;;2016;;Publicações Científicas Unochapecó. ;Unochapecó;1 CD-ROM;http://konrad.unochapeco.edu.br/pergamum/biblioteca/index.php?codAcervo=207573;;.
artigo científico;site;Universidade Comunitária Regional de Chapecó - Unochapecó;governamental;SOARES, André Luis R| MILDER, Saul Seiguer.;Arqueologia da morte : enterro de índio, vida de jesuíta, história que se escreve em cacos;Rio Grande do Sul - Índios Guarani - (subd. geog.) - Jesuítas - (Subd. geog.);;2002; v.16, n.16;Publicações Científicas Unochapecó. ;Unochapecó;275-298;http://konrad.unochapeco.edu.br/pergamum/biblioteca/index.php?codAcervo=159201;;.
artigo científico;site;Universidade Comunitária Regional de Chapecó - Unochapecó;governamental;CALAVIA SÁEZ, Oscar. ;Dilemas do saber nativo, direito intelectual, troca e apropriação;Direitos Intelectuais - Teoria do conhecimento;;1959;;Publicações Científicas Unochapecó. ;;161-177;http://konrad.unochapeco.edu.br/pergamum/biblioteca/index.php?codAcervo=157075;;.
artigo científico;site;Universidade Comunitária Regional de Chapecó - Unochapecó;governamental;GERBER, Rose Mary. ;"Desafios atuais do antropólogo em campo, ou como acompanhar um ""nativo"" que criou pernas ";Antropologia ;;2006;;Publicações Científicas Unochapecó. ;;49-55;http://konrad.unochapeco.edu.br/pergamum/biblioteca/index.php?codAcervo=178385;;.
artigo científico;site;Universidade Comunitária Regional de Chapecó - Unochapecó;governamental;SUFIATTI, Tanabi| DUARTE, Claudia Glavam;O currículo de matemática da escola indígena cacique vanhkrê e a constituição de sujeitos indígenas kaingang na contemporaneidade;Direitos sociais - Assistência social - Biopolítica;;2017;; Revista pedagógica (Chapecó);Unochapecó;1 CD-ROM;http://konrad.unochapeco.edu.br/pergamum/biblioteca/index.php?codAcervo=210231;;.
artigo científico;site;Universidade Comunitária Regional de Chapecó - Unochapecó;governamental;Vieira, Fabio Daniel;O grafismo indígena no contexto da América Latina Caribenha a partir de Charles Sanders Peirce [recurso eletrônico] :  uma leitura semiótica sobre o grafismo Kaingang e suas relações com a educação indígena;;;2017;;Publicações Científicas Unochapecó. ;Unochapecó;1 CD-ROM;http://konrad.unochapeco.edu.br/pergamum/biblioteca/index.php?codAcervo=210231;;.
artigo científico;site;Universidade Comunitária Regional de Chapecó - Unochapecó;governamental;Scapinello, Franciele Gomes;Usucapião de terras devolutas da ex-colônia militar de Xapecó;Direitos sociais - Assistência social - Biopolítica;;2017;;Publicações Científicas Unochapecó. ;Unochapecó;1 CD-ROM;http://konrad.unochapeco.edu.br/pergamum/biblioteca/index.php?codAcervo=210231;;.
artigo científico;site;Universidade Comunitária Regional de Chapecó - Unochapecó;governamental;Guisso, Cintia Marcia da Silva;O significado da sociocosmologia nas histórias dos Kofa Ag;;;2012;;Publicações Científicas Unochapecó. ;;;http://konrad.unochapeco.edu.br/pergamum/biblioteca/index.php?codAcervo=210231#sobe_paginacao;;.
artigo científico;site;Universidade Comunitária Regional de Chapecó - Unochapecó;governamental;Piovezana, Giovana Didone;A vida cotidiana das crianças indígenas que circulam na cidade;;;2012;;Publicações Científicas Unochapecó. ;;;http://konrad.unochapeco.edu.br/pergamum/biblioteca/index.php?codAcervo=210231#sobe_paginacao;;.
artigo científico;site;Universidade Comunitária Regional de Chapecó - Unochapecó;governamental;Oliveira, Valdemir Antonio;A escola é onde podemos pensar o que realmente queremos para a vida:  escolarização e projetos de vida no horizonte social de jovens kaingang;;;2012;;Publicações Científicas Unochapecó. ;;;http://konrad.unochapeco.edu.br/pergamum/biblioteca/index.php?codAcervo=210231#sobe_paginacao;;.
artigo científico;site;Universidade Comunitária Regional de Chapecó - Unochapecó;governamental;Cortina, Luciana Brandt;Relações entre desenhos animados e desenvolvimento infantil: analisando implicações;;;2012;;Publicações Científicas Unochapecó. ;;;http://konrad.unochapeco.edu.br/pergamum/biblioteca/index.php?codAcervo=210231#sobe_paginacao;;.
artigo científico;site;Universidade Comunitária Regional de Chapecó - Unochapecó;governamental;Nötzold, Ana Lucia Vulfe; Percepções dos usos de produções didáticas em uma escola kaingang.;;;2012;;Revista pedagógica (Chapecó);;;http://konrad.unochapeco.edu.br/pergamum/biblioteca/index.php?codAcervo=210231#sobe_paginacao;;.
